id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_49_2hop_192_rand,A,2,0,0,0,1,2,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_49_2hop_192_rand,B,2,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:도로법 제105조의 실제 적용 사례→종료
qa_116_2hop_452_rand,A,4,0,0,0,2,2,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_116_2hop_452_rand,B,4,0,0,0,2,2,1,0,0,1,2,finish,0,0,검색:별정우체국법 제3조와 제15조의 실제 적용 →종료
qa_163_2hop_630_rand,A,4,2,2,0,0,1,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_163_2hop_630_rand,B,6,0,0,0,1,1,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_213_2hop_812_rand,A,2,0,0,0,1,1,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_213_2hop_812_rand,B,4,1,1,0,1,1,0,1,1,2,3,finish,0,0,논리검증→사실검증→종료
qa_257_2hop_983_rand,A,4,0,0,0,1,1,1,3,3,7,3,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_257_2hop_983_rand,B,1,0,0,0,1,1,1,0,0,1,2,finish,0,0,"검색:[상황]
갑은 작은 인테리어 사업을 운영하고→종료"
qa_140_3hop_540_rand,A,4,0,0,0,0,3,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_140_3hop_540_rand,B,6,0,0,0,0,3,0,0,0,0,2,finish,0,1,형식오류→종료
qa_86_3hop_140,A,9,0,0,0,1,3,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_86_3hop_140,B,9,2,2,0,0,3,1,0,0,1,2,finish,0,0,검색:산업재해조사위원회의 역할과 절차에 대한 정보→종료
qa_352_3hop_554,A,7,0,0,0,2,3,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_352_3hop_554,B,4,0,0,0,2,3,0,0,1,1,2,finish,0,0,논리검증→종료
qa_61_1hop_93,A,1,0,0,0,1,1,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_61_1hop_93,B,1,0,0,0,1,1,1,0,0,1,2,finish,0,0,검색:헌법재판소법 제12조의 적용 사례→종료
qa_94_1hop_155,A,4,0,0,0,1,1,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_94_1hop_155,B,4,0,0,0,1,1,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_140_1hop_257,A,4,1,1,0,0,1,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_140_1hop_257,B,4,1,1,0,0,1,1,0,0,1,2,finish,0,0,검색:부동산등기특별조치법 제2조의 적용 범위와 예→종료
qa_174_1hop_312,A,3,0,0,0,0,1,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_174_1hop_312,B,2,0,0,0,0,1,1,0,0,1,2,finish,0,0,"검색:[상황]
갑은 절도죄로 징역 2년에 집행유예→종료"
qa_99_2hop_168,A,2,0,0,0,2,2,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_99_2hop_168,B,3,0,0,0,2,2,0,0,1,1,2,finish,0,0,논리검증→종료
qa_324_2hop_515,A,6,0,0,0,1,2,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_324_2hop_515,B,6,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_401_2hop_619,A,4,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_401_2hop_619,B,1,0,0,0,0,2,1,0,0,1,2,finish,0,0,"검색:[상황]
갑, 을, 병은 공동으로 토지를 소→종료"
qa_488_2hop_766,A,4,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_488_2hop_766,B,3,0,0,0,0,2,1,0,0,1,2,finish,0,0,"검색:[상황]
갑은 오래된 컴퓨터 프로그램을 무단→종료"
qa_624_2hop_943,A,2,0,0,0,1,2,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_624_2hop_943,B,7,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:보건복지사업법 제5조의 실제 적용 사례→종료
qa_59_2hop_232_rand,A,4,0,0,0,1,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_59_2hop_232_rand,B,3,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:공직선거법 제70조와 제71조의 실제 적용 →종료
qa_119_2hop_464_rand,A,6,0,0,0,2,2,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_119_2hop_464_rand,B,5,0,0,0,2,2,0,0,1,1,2,finish,0,0,논리검증→종료
qa_171_2hop_658_rand,A,2,0,0,0,1,1,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_171_2hop_658_rand,B,3,0,0,0,1,1,0,0,1,1,2,finish,0,0,논리검증→종료
