id,off_cites,off_fake,off_sfake,off_mism,on_cites,on_fake,on_sfake
qa_72_1hop_108,1,0,0,0,1,0,0
qa_116_1hop_207,1,0,0,0,1,0,0
qa_155_1hop_283,3,3,3,0,0,0,0
qa_249_2hop_406,1,0,0,0,1,0,0
qa_356_2hop_565,2,0,0,0,2,0,0
qa_430_2hop_668,1,0,0,0,1,0,0
qa_552_2hop_839,2,0,0,0,2,0,0
qa_23_2hop_93_rand,4,0,0,0,4,0,0
qa_80_2hop_313_rand,0,0,0,0,0,0,0
qa_139_2hop_535_rand,2,0,0,0,2,0,0
qa_242_2hop_923_rand,3,0,0,0,3,0,0
qa_33_3hop_52,3,0,0,0,3,0,0
qa_209_3hop_360,2,0,0,0,2,0,0
qa_498_3hop_782,2,0,0,0,2,0,0
qa_2_1hop_4,2,0,0,0,2,0,0
qa_48_1hop_73,3,0,0,0,3,0,0
qa_74_1hop_114,3,0,0,0,3,0,0
qa_124_1hop_223,3,3,3,0,3,0,0
qa_49_2hop_75,7,6,6,0,5,3,3
qa_143_2hop_261,2,2,2,0,2,2,2
qa_365_2hop_578,1,0,0,0,1,0,0
qa_435_2hop_678,0,0,0,0,0,0,0
qa_566_2hop_861,4,0,0,0,4,0,0
qa_83_2hop_325_rand,3,0,0,0,3,0,0
qa_144_2hop_555_rand,1,0,0,0,1,0,0
qa_243_2hop_927_rand,0,0,0,0,0,0,0
qa_242_3hop_399,2,0,0,0,2,0,0
qa_6_1hop_9,2,0,0,0,2,0,0
qa_50_1hop_78,1,0,0,0,1,0,0
qa_76_1hop_118,1,0,0,0,1,0,0
qa_125_1hop_225,1,0,0,0,1,0,0
qa_160_1hop_289,1,0,0,0,1,0,0
qa_58_2hop_88,2,0,0,0,2,0,0
qa_273_2hop_431,3,0,0,0,3,0,0
qa_584_2hop_884,3,0,0,0,3,0,0
qa_26_2hop_104_rand,2,2,2,0,2,2,2
qa_85_2hop_333_rand,3,0,0,0,3,0,0
qa_145_2hop_559_rand,2,1,1,0,1,1,1
qa_206_2hop_786_rand,3,0,0,0,3,0,0
qa_244_2hop_931_rand,2,0,0,0,2,0,0
qa_608_3hop_919,2,0,0,0,2,0,0
qa_274_3hop_434,5,0,3,3,5,0,3
qa_550_3hop_837,6,0,0,0,6,0,0
qa_13_1hop_18,1,0,0,0,1,0,0
qa_52_1hop_80,3,0,0,0,3,0,0
qa_80_1hop_125,3,0,0,0,3,0,0
qa_162_1hop_291,1,0,0,0,1,0,0
qa_59_2hop_90,2,2,2,0,2,2,2
qa_158_2hop_287,5,0,0,0,5,0,0
qa_281_2hop_441,2,0,2,2,2,0,2
qa_368_2hop_584,1,0,0,0,1,0,0
qa_602_2hop_910,2,0,0,0,2,0,0
qa_28_2hop_112_rand,1,0,0,0,1,0,0
qa_157_2hop_606_rand,6,0,0,0,6,0,0
qa_207_2hop_790_rand,5,1,1,0,3,0,0
qa_14_3hop_58_rand,6,6,6,0,4,4,4
qa_73_3hop_113,6,0,0,0,6,0,0
qa_314_3hop_503,3,0,0,0,3,0,0
qa_16_1hop_22,2,0,0,0,2,0,0
qa_55_1hop_83,1,0,0,0,1,0,0
qa_135_1hop_245,1,0,0,0,1,0,0
qa_165_1hop_293,1,0,0,0,1,0,0
qa_69_2hop_103,4,4,4,0,8,7,7
qa_168_2hop_300,4,0,0,0,4,0,0
qa_290_2hop_453,3,3,3,0,2,2,2
qa_450_2hop_717,3,0,3,3,3,0,3
qa_41_2hop_160_rand,1,1,1,0,1,1,1
qa_92_2hop_361_rand,4,1,1,0,3,0,0
qa_159_2hop_614_rand,3,0,0,0,3,0,0
qa_209_2hop_798_rand,3,0,0,0,3,0,0
qa_248_2hop_947_rand,0,0,0,0,0,0,0
qa_32_3hop_125_rand,3,2,2,0,4,1,1
qa_74_3hop_116,2,0,0,0,2,0,0
qa_321_3hop_511,3,0,0,0,3,0,0
qa_17_1hop_24,2,1,1,0,1,1,1
qa_56_1hop_86,2,1,1,0,0,0,0
qa_85_1hop_135,0,0,0,0,0,0,0
qa_138_1hop_252,2,0,0,0,2,0,0
qa_168_1hop_299,1,0,0,0,1,0,0
qa_299_2hop_473,4,0,0,0,4,0,0
qa_473_2hop_745,3,3,3,0,3,3,3
qa_608_2hop_918,3,0,0,0,3,0,0
qa_47_2hop_184_rand,2,0,0,0,2,0,0
qa_102_2hop_400_rand,2,0,0,0,2,0,0
qa_211_2hop_804_rand,3,0,0,0,3,0,0
qa_250_2hop_955_rand,2,0,0,0,2,0,0
qa_132_3hop_508_rand,2,1,1,0,3,3,3
qa_77_3hop_121,3,0,0,0,3,0,0
qa_329_3hop_523,3,0,0,0,3,0,0
qa_0_1hop_0,0,0,0,0,0,0,0
qa_45_1hop_69,2,0,0,0,2,0,0
qa_70_1hop_106,3,0,0,0,3,0,0
qa_110_1hop_193,2,1,1,0,2,0,0
qa_154_1hop_281,1,0,0,0,1,0,0
qa_22_2hop_33,4,0,0,0,4,0,0
qa_244_2hop_400,3,0,0,0,3,0,0
qa_344_2hop_543,2,0,0,0,2,0,0
qa_429_2hop_665,4,0,0,0,4,0,0
qa_549_2hop_834,2,0,0,0,2,0,0
qa_19_2hop_77_rand,8,0,0,0,8,0,0
qa_71_2hop_277_rand,4,0,0,0,4,0,0
qa_136_2hop_523_rand,2,0,0,0,2,0,0
qa_198_2hop_756_rand,1,0,0,0,1,0,0
qa_240_2hop_916_rand,4,4,4,0,2,1,1
qa_297_2hop_1135_rand,3,1,1,0,0,0,0
qa_293_3hop_839_rand2,6,6,6,0,4,3,3
qa_136_3hop_249,3,0,0,0,3,0,0
qa_443_3hop_703,3,0,0,0,3,0,0
