id,off_cites,off_fake,off_sfake,off_mism,on_cites,on_fake,on_sfake
qa_62_2hop_244_rand,8,1,1,0,7,1,1
qa_124_2hop_480_rand,2,0,0,0,2,0,0
qa_174_2hop_666_rand,8,0,0,0,8,0,0
qa_216_2hop_824_rand,2,0,0,0,2,0,0
qa_82_3hop_235_rand2,3,0,0,0,3,0,0
qa_127_3hop_230,4,0,0,0,4,0,0
qa_430_3hop_669,3,1,1,0,12,1,1
qa_25_1hop_37,1,0,0,0,1,0,0
qa_64_1hop_95,4,0,0,0,4,0,0
qa_99_1hop_167,3,0,0,0,3,0,0
qa_145_1hop_267,2,1,1,0,1,0,0
qa_192_1hop_333,1,0,0,0,1,0,0
qa_115_2hop_204,7,0,0,0,7,0,0
qa_332_2hop_531,4,0,0,0,4,0,0
qa_522_2hop_806,6,0,0,0,6,0,0
qa_644_2hop_973,4,1,2,1,3,0,0
qa_63_2hop_248_rand,10,0,0,0,10,0,0
qa_129_2hop_497_rand,3,0,0,0,3,0,0
qa_180_2hop_689_rand,4,0,0,0,4,0,0
qa_226_2hop_860_rand,2,1,1,0,4,1,1
qa_286_2hop_1091_rand,6,0,0,0,6,0,0
qa_144_3hop_410_rand2,6,0,0,0,6,0,0
qa_131_3hop_237,3,0,0,0,3,0,0
qa_441_3hop_696,4,0,0,0,4,0,0
qa_26_1hop_39,3,0,0,0,3,0,0
qa_102_1hop_173,2,0,0,0,2,0,0
qa_3_2hop_6,8,0,1,1,8,0,1
qa_116_2hop_208,3,0,0,0,3,0,0
qa_202_2hop_350,6,0,0,0,6,0,0
qa_339_2hop_536,2,0,0,0,2,0,0
qa_409_2hop_628,3,0,0,0,3,0,0
qa_653_2hop_987,1,0,0,0,1,0,0
qa_130_2hop_501_rand,6,0,0,0,6,0,0
qa_185_2hop_707_rand,1,0,0,0,1,0,0
qa_233_2hop_888_rand,4,0,0,0,4,0,0
qa_41_3hop_66,3,0,0,0,3,0,0
qa_304_3hop_869_rand2,4,0,0,0,4,0,0
qa_148_3hop_273,4,0,0,0,4,0,0
qa_460_3hop_730,5,0,0,0,5,0,0
qa_68_1hop_100,1,0,0,0,1,0,0
qa_104_1hop_180,2,0,0,0,2,0,0
qa_150_1hop_277,2,0,0,0,2,0,0
qa_5_2hop_8,4,0,0,0,4,0,0
qa_122_2hop_219,5,0,0,0,5,0,0
qa_340_2hop_539,5,0,0,0,5,0,0
qa_421_2hop_650,2,0,0,0,2,0,0
qa_0_2hop_1_rand,2,0,0,0,2,0,0
qa_67_2hop_261_rand,3,1,1,0,16,8,8
qa_132_2hop_507_rand,4,0,0,0,4,0,0
qa_193_2hop_739_rand,2,0,0,0,2,0,0
qa_234_2hop_892_rand,2,0,0,0,2,0,0
qa_291_2hop_1111_rand,4,1,1,0,3,1,1
qa_104_3hop_182,2,0,0,0,2,0,0
qa_309_3hop_881_rand2,4,0,0,0,4,0,0
qa_168_3hop_301,3,0,0,0,3,0,0
qa_493_3hop_773,7,0,0,0,7,0,0
qa_32_1hop_49,3,0,0,0,3,0,0
qa_69_1hop_102,2,0,0,0,2,0,0
qa_105_1hop_183,1,0,0,0,1,0,0
qa_152_1hop_280,4,0,0,0,4,0,0
qa_17_2hop_25,3,0,0,0,3,0,0
qa_125_2hop_226,4,0,0,0,4,0,0
qa_233_2hop_388,2,0,0,0,2,0,0
qa_343_2hop_541,2,0,0,0,2,0,0
qa_423_2hop_656,4,1,2,1,4,0,1
qa_8_2hop_33_rand,2,0,0,0,2,0,0
qa_70_2hop_273_rand,2,0,0,0,2,0,0
qa_134_2hop_515_rand,1,0,0,0,1,0,0
qa_197_2hop_752_rand,4,0,0,0,4,0,0
qa_239_2hop_912_rand,3,0,0,0,3,0,0
qa_366_3hop_580,6,0,1,1,6,0,1
qa_32_3hop_51,4,0,0,0,4,0,0
qa_495_3hop_777,4,1,1,0,3,0,0
qa_1_1hop_2,1,0,0,0,1,0,0
qa_72_1hop_108,5,0,0,0,5,0,0
qa_116_1hop_207,1,0,0,0,1,0,0
qa_155_1hop_283,2,0,0,0,2,0,0
qa_249_2hop_406,2,0,0,0,2,0,0
qa_356_2hop_565,8,0,0,0,8,0,0
qa_430_2hop_668,12,1,1,0,12,1,1
qa_552_2hop_839,9,0,0,0,9,0,0
qa_23_2hop_93_rand,4,0,0,0,4,0,0
qa_80_2hop_313_rand,2,0,0,0,2,0,0
qa_139_2hop_535_rand,3,0,0,0,3,0,0
qa_242_2hop_923_rand,5,0,0,0,5,0,0
qa_33_3hop_52,4,0,2,2,4,0,2
qa_209_3hop_360,4,0,0,0,4,0,0
qa_498_3hop_782,12,0,0,0,12,0,0
qa_2_1hop_4,1,0,0,0,1,0,0
qa_48_1hop_73,2,0,0,0,2,0,0
qa_74_1hop_114,2,0,0,0,2,0,0
qa_124_1hop_223,3,0,0,0,3,0,0
qa_49_2hop_75,6,1,1,0,4,0,0
qa_143_2hop_261,2,0,0,0,2,0,0
qa_365_2hop_578,2,0,0,0,2,0,0
qa_435_2hop_678,2,0,0,0,2,0,0
qa_566_2hop_861,4,0,1,1,4,0,1
qa_83_2hop_325_rand,4,0,0,0,4,0,0
qa_144_2hop_555_rand,2,1,1,0,2,1,1
qa_243_2hop_927_rand,2,0,0,0,2,0,0
qa_242_3hop_399,2,0,0,0,2,0,0
qa_6_1hop_9,1,0,0,0,1,0,0
qa_50_1hop_78,5,0,0,0,5,0,0
qa_76_1hop_118,1,0,0,0,1,0,0
qa_125_1hop_225,3,0,0,0,3,0,0
qa_160_1hop_289,1,0,0,0,1,0,0
qa_58_2hop_88,8,0,1,1,8,0,1
qa_273_2hop_431,4,0,1,1,4,0,1
qa_584_2hop_884,5,0,0,0,5,0,0
qa_26_2hop_104_rand,4,3,3,0,6,3,3
qa_85_2hop_333_rand,2,0,0,0,2,0,0
qa_145_2hop_559_rand,1,1,1,0,1,1,1
qa_206_2hop_786_rand,2,0,0,0,2,0,0
qa_244_2hop_931_rand,6,1,1,0,5,2,2
qa_608_3hop_919,7,1,1,0,5,0,0
qa_274_3hop_434,4,0,0,0,4,0,0
qa_550_3hop_837,2,0,0,0,2,0,0
qa_13_1hop_18,4,0,0,0,4,0,0
qa_52_1hop_80,8,0,0,0,8,0,0
qa_80_1hop_125,2,0,0,0,2,0,0
qa_162_1hop_291,2,0,0,0,2,0,0
qa_59_2hop_90,6,0,0,0,6,0,0
qa_158_2hop_287,10,0,0,0,10,0,0
qa_281_2hop_441,5,0,0,0,5,0,0
qa_368_2hop_584,3,0,0,0,3,0,0
qa_602_2hop_910,4,0,0,0,4,0,0
qa_28_2hop_112_rand,5,0,0,0,5,0,0
qa_157_2hop_606_rand,2,0,0,0,2,0,0
qa_207_2hop_790_rand,3,0,0,0,3,0,0
qa_14_3hop_58_rand,9,0,0,0,9,0,0
qa_73_3hop_113,2,0,0,0,2,0,0
qa_314_3hop_503,3,0,0,0,3,0,0
qa_16_1hop_22,1,0,0,0,1,0,0
qa_55_1hop_83,1,0,0,0,1,0,0
qa_135_1hop_245,4,0,0,0,4,0,0
qa_165_1hop_293,1,0,0,0,1,0,0
qa_69_2hop_103,7,0,0,0,7,0,0
qa_168_2hop_300,4,0,0,0,4,0,0
qa_290_2hop_453,8,0,0,0,8,0,0
qa_450_2hop_717,4,0,0,0,4,0,0
qa_41_2hop_160_rand,2,0,0,0,2,0,0
qa_92_2hop_361_rand,6,0,0,0,6,0,0
qa_159_2hop_614_rand,2,0,0,0,2,0,0
qa_209_2hop_798_rand,1,0,0,0,1,0,0
qa_248_2hop_947_rand,2,2,2,0,3,2,2
qa_32_3hop_125_rand,4,0,0,0,4,0,0
qa_74_3hop_116,3,0,0,0,3,0,0
qa_321_3hop_511,3,0,0,0,3,0,0
qa_17_1hop_24,3,0,0,0,3,0,0
qa_56_1hop_86,1,0,0,0,1,0,0
qa_85_1hop_135,4,0,0,0,4,0,0
qa_138_1hop_252,1,0,0,0,1,0,0
qa_168_1hop_299,2,0,0,0,2,0,0
qa_299_2hop_473,11,1,1,0,12,1,1
qa_473_2hop_745,3,0,0,0,3,0,0
qa_608_2hop_918,7,0,0,0,7,0,0
qa_47_2hop_184_rand,2,0,0,0,2,0,0
qa_102_2hop_400_rand,3,0,0,0,3,0,0
qa_211_2hop_804_rand,2,0,0,0,2,0,0
qa_250_2hop_955_rand,4,1,1,0,3,0,0
qa_132_3hop_508_rand,3,0,0,0,3,0,0
qa_77_3hop_121,2,0,0,0,2,0,0
qa_329_3hop_523,4,0,0,0,4,0,0
qa_0_1hop_0,3,0,0,0,3,0,0
qa_45_1hop_69,6,0,0,0,6,0,0
qa_70_1hop_106,1,0,0,0,1,0,0
qa_110_1hop_193,4,0,0,0,4,0,0
qa_154_1hop_281,3,0,0,0,3,0,0
qa_22_2hop_33,2,1,1,0,2,0,0
qa_244_2hop_400,6,0,0,0,6,0,0
qa_344_2hop_543,3,0,0,0,3,0,0
qa_429_2hop_665,6,0,0,0,6,0,0
qa_549_2hop_834,5,0,0,0,5,0,0
qa_19_2hop_77_rand,4,0,0,0,4,0,0
qa_71_2hop_277_rand,5,0,0,0,5,0,0
qa_136_2hop_523_rand,6,0,0,0,6,0,0
qa_198_2hop_756_rand,3,0,0,0,3,0,0
qa_240_2hop_916_rand,4,1,1,0,6,3,3
qa_297_2hop_1135_rand,8,2,2,0,6,1,1
qa_293_3hop_839_rand2,3,0,0,0,3,0,0
qa_136_3hop_249,6,1,1,0,5,0,0
qa_443_3hop_703,2,0,0,0,2,0,0
