question_id,gold_statutes,domain,rule_applied,is_mixed
qa_41_2hop_160_rand,도로교통법 시행령|도로교통법 시행령,기타,majority(기타2),0
qa_92_2hop_361_rand,도로법 시행령|도로법 시행령,기타,majority(기타2),0
qa_159_2hop_614_rand,신탁법|신탁법,기타,majority(기타2),0
qa_209_2hop_798_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_248_2hop_947_rand,국공유재산처리임시특례법|국공유재산처리임시특례법,기타,majority(기타2),0
qa_32_3hop_125_rand,공직선거법|공직선거법|공직선거법,기타,majority(기타3),0
qa_74_3hop_116,성폭력범죄의 처벌 등에 관한 특례법|성폭력범죄의 처벌 등에 관한 특례법|성폭력범죄의 처벌 등에 관한 특례법 시행령,기타,majority(기타3),0
qa_321_3hop_511,민법|민법|민법,민사,majority(민사3),0
qa_17_1hop_24,민법,민사,majority(민사1),0
qa_56_1hop_86,선박법,기타,majority(기타1),0
qa_85_1hop_135,공중위생관리법,기타,majority(기타1),0
qa_138_1hop_252,민사집행법,기타,majority(기타1),0
qa_168_1hop_299,공무원범죄에 관한 몰수 특례법,기타,majority(기타1),0
qa_299_2hop_473,성폭력범죄의 처벌 등에 관한 특례법|형법,mixed,"tie(기타1,형사1)→mixed",1
qa_473_2hop_745,민법|민법,민사,majority(민사2),0
qa_608_2hop_918,근로자퇴직급여 보장법|근로기준법,기타,majority(기타2),0
qa_47_2hop_184_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_102_2hop_400_rand,대기환경보전법 시행령|대기환경보전법 시행령,기타,majority(기타2),0
qa_211_2hop_804_rand,대기환경보전법|대기환경보전법,기타,majority(기타2),0
qa_250_2hop_955_rand,하천법 시행령|하천법 시행령,기타,majority(기타2),0
qa_132_3hop_508_rand,농어촌정비법|농어촌정비법|농어촌정비법,기타,majority(기타3),0
qa_77_3hop_121,토지이용규제 기본법|토지이용규제 기본법|토지이용규제 기본법,기타,majority(기타3),0
qa_329_3hop_523,민법|민법|민법,민사,majority(민사3),0
qa_0_1hop_0,상법,기타,majority(기타1),0
qa_45_1hop_69,상법,기타,majority(기타1),0
qa_70_1hop_106,민법,민사,majority(민사1),0
qa_110_1hop_193,행정소송법,기타,majority(기타1),0
qa_154_1hop_281,형법,형사,majority(형사1),0
qa_22_2hop_33,형사소송법|형사소송법,형사,majority(형사2),0
qa_244_2hop_400,행정소송법|행정심판법,기타,majority(기타2),0
qa_344_2hop_543,민사소송법|민사소송법|민사소송법,기타,majority(기타3),0
qa_429_2hop_665,민법|민법,민사,majority(민사2),0
qa_549_2hop_834,민사소송법|민사소송법,기타,majority(기타2),0
qa_19_2hop_77_rand,먹는물관리법|먹는물관리법|먹는물관리법,기타,majority(기타3),0
qa_71_2hop_277_rand,농어촌도로 정비법|농어촌도로 정비법,기타,majority(기타2),0
qa_136_2hop_523_rand,건축사법|건축사법,기타,majority(기타2),0
qa_198_2hop_756_rand,형의 집행 및 수용자의 처우에 관한 법률|형의 집행 및 수용자의 처우에 관한 법률,기타,majority(기타2),0
qa_240_2hop_916_rand,소득세법 시행령|소득세법 시행령,기타,majority(기타2),0
qa_297_2hop_1135_rand,성폭력범죄의 처벌 등에 관한 특례법 시행령|성폭력범죄의 처벌 등에 관한 특례법 시행령,기타,majority(기타2),0
qa_293_3hop_839_rand2,지방세특례제한법|지방세특례제한법|지방세특례제한법,기타,majority(기타3),0
qa_136_3hop_249,상법|상법|상법,기타,majority(기타3),0
qa_443_3hop_703,형법|형법|형사소송법,형사,majority(형사3),0
